Name,Ticker,Identifier,SEDOL,Weight,Shares Held,Local Currency
MONDELEZ INTERNATIONAL INC A,MDLZ,609207105,B8CKK03,0.265495,15270059.000,USD
TJX COMPANIES INC,TJX,872540109,2989301,0.263873,12937100.000,USD
AUTOMATIC DATA PROCESSING,ADP,053015103,2065308,0.260759,4639995.000,USD
ANALOG DEVICES INC,ADI,032654105,2032067,0.259530,5675996.000,USD
AMERICAN EXPRESS CO,AXP,025816109,2026082,0.259308,6664353.000,USD
STRYKER CORP,SYK,863667101,2853688,0.256701,3775941.000,USD
SCHWAB (CHARLES) CORP,SCHW,808513105,2779397,0.254802,16661578.000,USD
CVS HEALTH CORP,CVS,126650100,2577609,0.254254,14379966.000,USD
GILEAD SCIENCES INC,GILD,375558103,2369174,0.252035,13964693.000,USD
MARSH + MCLENNAN COS,MMC,571748102,2567741,0.249698,5545145.000,USD
VERTEX PHARMACEUTICALS INC,VRTX,92532F100,2931034,0.240909,2879081.000,USD
CITIGROUP INC,C,172967424,2297907,0.240192,21826627.000,USD
ZOETIS INC,ZTS,98978V103,B95WG16,0.230128,5178821.000,USD
LAM RESEARCH CORP,LRCX,512807108,2502247,0.229582,1510846.000,USD
THE CIGNA GROUP,CI,125523100,BHJ0775,0.228446,3317225.000,USD
AMERICAN TOWER CORP,AMT,03027X100,B7FBFL2,0.227247,5205971.000,USD
SCHLUMBERGER LTD,SLB,806857108,2779201,0.215126,15904574.000,USD
T MOBILE US INC,TMUS,872590104,B94Q9V0,0.215000,6457616.000,USD
EATON CORP PLC,ETN,G29183103,B8KQN82,0.214713,4453861.000,USD
PAYPAL HOLDINGS INC,PYPL,70450Y103,BYW36M8,0.213282,12509115.000,USD
ALTRIA GROUP INC,MO,02209S103,2692632,0.212391,19992312.000,USD
CHUBB LTD,CB,H1467J104,B3BQMF6,0.212015,4640145.000,USD
FISERV INC,FI,337738108,2342034,0.210361,6921160.000,USD
BECTON DICKINSON AND CO,BDX,075887109,2087807,0.210340,3176995.000,USD
SOUTHERN CO/THE,SO,842587107,2829601,0.206537,12171905.000,USD
REGENERON PHARMACEUTICALS,REGN,75886F107,2730190,0.205334,1203832.000,USD
EQUINIX INC,EQIX,29444U700,BVLZX12,0.200073,1048587.000,USD
BOSTON SCIENTIFIC CORP,BSX,101137107,2113434,0.197423,16119077.000,USD
EOG RESOURCES INC,EOG,26875P101,2318024,0.197194,6566692.000,USD
PALO ALTO NETWORKS INC,PANW,697435105,B87ZMX0,0.192588,3392667.000,USD
DUKE ENERGY CORP,DUK,26441C204,B7VD3F2,0.191745,8610598.000,USD
PROGRESSIVE CORP,PGR,743315103,2705024,0.188874,6541632.000,USD
MICRON TECHNOLOGY INC,MU,595112103,2588184,0.187564,12220030.000,USD
ILLINOIS TOOL WORKS,ITW,452308109,2457552,0.185923,3108019.000,USD
AON PLC CLASS A,AON,G0403H108,BLP1HW5,0.184432,2299505.000,USD
SYNOPSYS INC,SNPS,871607107,2867719,0.182076,1706929.000,USD
CME GROUP INC,CME,12572Q105,2965839,0.179735,4022132.000,USD
AIR PRODUCTS + CHEMICALS INC,APD,009158106,2011602,0.177255,2479978.000,USD
CSX CORP,CSX,126408103,2160753,0.176693,22794504.000,USD
ACTIVISION BLIZZARD INC,ATVI,00507V109,2575818,0.172837,7975799.000,USD
NORTHROP GRUMMAN CORP,NOC,666807102,2648806,0.172101,1610806.000,USD
CADENCE DESIGN SYS INC,CDNS,127387108,2302232,0.171051,3071692.000,USD
INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,BFSSDS9,0.170445,6258425.000,USD
SHERWIN WILLIAMS CO/THE,SHW,824348106,2804211,0.170281,2640451.000,USD
COLGATE PALMOLIVE CO,CL,194162103,2209106,0.170131,9352724.000,USD
KLA CORP,KLAC,482480100,2480138,0.167480,1537556.000,USD
WASTE MANAGEMENT INC,WM,94106L109,2937667,0.166868,4157520.000,USD
FREEPORT MCMORAN INC,FCX,35671D857,2352118,0.163428,16006656.000,USD
TARGET CORP,TGT,87612E106,2259101,0.160663,5145957.000,USD
3M CO W/D,MMM,88579Y101,2595708,0.158609,6179642.000,USD
FEDEX CORP,FDX,31428X106,2142784,0.157780,2600175.000,USD
HCA HEALTHCARE INC,HCA,40412C101,B4MGBG6,0.154349,2313177.000,USD
O REILLY AUTOMOTIVE INC,ORLY,67103H107,B65LWX6,0.153798,682480.000,USD
CHIPOTLE MEXICAN GRILL INC,CMG,169656105,B0X7DZ3,0.151113,309048.000,USD
NXP SEMICONDUCTORS NV,NXPI,N6596X109,B505PN7,0.148868,2897022.000,USD
MOODY S CORP,MCO,615369105,2252058,0.148590,1757919.000,USD
HUMANA INC,HUM,444859102,2445063,0.148587,1399448.000,USD
MCKESSON CORP,MCK,58155Q103,2378534,0.146055,1519664.000,USD
EDWARDS LIFESCIENCES CORP,EW,28176E108,2567116,0.145623,6796900.000,USD
MARATHON PETROLEUM CORP,MPC,56585A102,B3K3L40,0.142973,4757017.000,USD
NORFOLK SOUTHERN CORP,NSC,655844108,2641894,0.141393,2550982.000,USD
PNC FINANCIAL SERVICES GROUP,PNC,693475105,2692665,0.140700,4508592.000,USD
FORD MOTOR CO,F,345370860,2615468,0.139614,43993387.000,USD
EMERSON ELECTRIC CO,EMR,291011104,2313405,0.138445,6398358.000,USD
GENERAL MOTORS CO,GM,37045V100,B665KZ5,0.138395,15617382.000,USD
US BANCORP,USB,902973304,2736035,0.138041,15602135.000,USD
ROPER TECHNOLOGIES INC,ROP,776696106,2749602,0.137006,1185916.000,USD
PIONEER NATURAL RESOURCES CO,PXD,723787107,2690830,0.134441,2620568.000,USD
PARKER HANNIFIN CORP,PH,701094104,2671501,0.133626,1436376.000,USD
FORTINET INC,FTNT,34959E109,B5B2106,0.132719,7249480.000,USD
MARRIOTT INTERNATIONAL  CL A,MAR,571903202,2210614,0.131627,2890992.000,USD
DEXCOM INC,DXCM,252131107,B0796X4,0.131160,4318645.000,USD
AMPHENOL CORP CL A,APH,032095101,2145084,0.131095,6653702.000,USD
MOTOROLA SOLUTIONS INC,MSI,620076307,B5BKPQ4,0.130393,1872641.000,USD
MICROCHIP TECHNOLOGY INC,MCHP,595017104,2592174,0.130241,6135191.000,USD
PHILLIPS 66,PSX,718546104,B78C4Y8,0.129498,5144727.000,USD
GENERAL DYNAMICS CORP,GD,369550108,2365161,0.128382,2520018.000,USD
CROWN CASTLE INC,CCI,22822V101,BTGQCX1,0.125053,4841403.000,USD
SEMPRA ENERGY,SRE,816851109,2138158,0.124361,3514683.000,USD
ECOLAB INC,ECL,278865100,2304227,0.123772,2775158.000,USD
ARTHUR J GALLAGHER + CO,AJG,363576109,2359506,0.123653,2401641.000,USD
ARCHER DANIELS MIDLAND CO,ADM,039483102,2047317,0.123493,6141145.000,USD
JOHNSON CONTROLS INTERNATION,JCI,G51502105,BY7QL61,0.123424,7673270.000,USD
PUBLIC STORAGE,PSA,74460D109,2852533,0.121499,1770099.000,USD
TRANSDIGM GROUP INC,TDG,893641100,B11FJK3,0.121318,580861.000,USD
IDEXX LABORATORIES INC,IDXX,45168D104,2459202,0.120726,928024.000,USD
AUTOZONE INC,AZO,053332102,2065955,0.120599,206323.000,USD
OCCIDENTAL PETROLEUM CORP,OXY,674599105,2655408,0.120453,8128642.000,USD
AUTODESK INC,ADSK,052769106,2065159,0.119101,2418164.000,USD
GENERAL MILLS INC,GIS,370334104,2367026,0.118643,6601115.000,USD
CARRIER GLOBAL CORP,CARR,14448C104,BK4N0D7,0.118137,9377241.000,USD
DOMINION ENERGY INC,D,25746U109,2542049,0.118022,9331689.000,USD
VALERO ENERGY CORP,VLO,91913Y100,2041364,0.117968,4053318.000,USD
PACCAR INC,PCAR,693718108,2665861,0.117652,5833035.500,USD
TE CONNECTIVITY LTD,TEL,H84989104,B62B7C3,0.117574,3563130.000,USD
AMERICAN ELECTRIC POWER,AEP,025537101,2026242,0.117528,5745043.000,USD
KIMBERLY CLARK CORP,KMB,494368103,2491839,0.117401,3779534.000,USD
TRANE TECHNOLOGIES PLC,TT,G8994E103,BK9ZQ96,0.116957,2574060.000,USD
CINTAS CORP,CTAS,172908105,2197137,0.116735,967229.000,USD
MONSTER BEVERAGE CORP,MNST,61174X109,BZ07BW4,0.115589,8516214.000,USD
CONSTELLATION BRANDS INC A,STZ,21036P108,2170473,0.115059,1814262.000,USD
MSCI INC,MSCI,55354G100,B2972D2,0.114575,894348.000,USD
NUCOR CORP,NUE,670346105,2651086,0.114463,2833197.000,USD
CAPITAL ONE FINANCIAL CORP,COF,14040H105,2654461,0.114449,4276873.000,USD
AMERICAN INTERNATIONAL GROUP,AIG,026874784,2027342,0.113571,8114648.000,USD
TRUIST FINANCIAL CORP,TFC,89832Q109,BKP7287,0.112944,14834316.000,USD
ON SEMICONDUCTOR,ON,682189105,2583576,0.112834,4826388.000,USD
ARISTA NETWORKS INC,ANET,040413106,BN33VM5,0.112759,2771628.000,USD
IQVIA HOLDINGS INC,IQV,46266C105,BDR73G1,0.112409,2077186.000,USD
EXELON CORP,EXC,30161N101,2670519,0.111879,11128468.000,USD
REALTY INCOME CORP,O,756109104,2724193,0.111289,7548271.000,USD
CHARTER COMMUNICATIONS INC A,CHTR,16119P108,BZ6VT82,0.108492,1164383.000,USD
ESTEE LAUDER COMPANIES CL A,EL,518439104,2320524,0.108149,2594377.000,USD
WELLTOWER INC,WELL,95040Q104,BYVYHH4,0.108009,5572516.000,USD
WILLIAMS COS INC,WMB,969457100,2967181,0.107814,13577183.000,USD
DR HORTON INC,DHI,23331A109,2250687,0.107110,3498763.000,USD
HESS CORP,HES,42809H107,2023748,0.106986,3107142.000,USD
SIMON PROPERTY GROUP INC,SPG,828806109,2812452,0.105835,3661433.000,USD
HILTON WORLDWIDE HOLDINGS IN,HLT,43300A203,BYVMW06,0.105382,2983825.000,USD
MODERNA INC,MRNA,60770K107,BGSXTS3,0.105186,3693321.000,USD
CORTEVA INC,CTVA,22052L104,BK73B42,0.105103,7998428.000,USD
PAYCHEX INC,PAYX,704326107,2674458,0.104776,3586243.000,USD
AFLAC INC,AFL,001055102,2026361,0.104447,6164762.000,USD
TRAVELERS COS INC/THE,TRV,89417E109,2769503,0.104104,2588183.000,USD
METLIFE INC,MET,59156R108,2573209,0.104029,7212489.000,USD
BIOGEN INC,BIIB,09062X103,2455965,0.102007,1614827.000,USD
ROSS STORES INC,ROST,778296103,2746711,0.101368,3855376.000,USD
CENTENE CORP,CNC,15135B101,2807061,0.101348,6167297.000,USD
ROCKWELL AUTOMATION INC,ROK,773903109,2754060,0.101097,1280324.000,USD
COPART INC,CPRT,217204106,2208073,0.100964,4791375.000,USD
YUM  BRANDS INC,YUM,988498101,2098876,0.100796,3148552.000,USD
L3HARRIS TECHNOLOGIES INC,LHX,502431109,BK9DTN5,0.100324,2130007.000,USD
SYSCO CORP,SYY,871829107,2868165,0.100176,5676225.000,USD
AGILENT TECHNOLOGIES INC,A,00846U101,2520153,0.098461,3309459.000,USD
DOW INC,DOW,260557103,BHXCF84,0.098339,7868466.000,USD
AMERIPRISE FINANCIAL INC,AMP,03076C106,B0J7D57,0.097683,1178521.000,USD
COSTAR GROUP INC,CSGP,22160N109,2262864,0.097557,4547476.000,USD
FIDELITY NATIONAL INFO SERV,FIS,31620M106,2769796,0.096310,6634349.000,USD
OTIS WORLDWIDE CORP,OTIS,68902V107,BK531S8,0.095687,4675779.000,USD
AMETEK INC,AME,031100100,2089212,0.095395,2571875.000,USD
CUMMINS INC,CMI,231021106,2240202,0.095326,1582230.000,USD
ELECTRONIC ARTS INC,EA,285512109,2310194,0.095132,2916707.000,USD
DOLLAR GENERAL CORP,DG,256677105,B5B1S13,0.094549,2456659.000,USD
HERSHEY CO/THE,HSY,427866108,2422806,0.093860,1646067.000,USD
OLD DOMINION FREIGHT LINE,ODFL,679580100,2656423,0.093586,1012890.000,USD
BAKER HUGHES CO,BKR,05722G100,BDHLTQ5,0.093525,11197785.000,USD
KINDER MORGAN INC,KMI,49456B101,B3NQ4P8,0.093227,22089247.000,USD
XCEL ENERGY INC,XEL,98389B100,2614807,0.092882,6118481.000,USD
DUPONT DE NEMOURS INC,DD,26614N102,BK0VN47,0.092079,5130485.000,USD
DIGITAL REALTY TRUST INC,DLR,253868103,B03GQS4,0.092078,3266571.000,USD
PRUDENTIAL FINANCIAL INC,PRU,744320102,2819118,0.091708,4113973.000,USD
HALLIBURTON CO,HAL,406216101,2405302,0.091150,10152077.000,USD
NEWMONT CORP,NEM,651639106,2636607,0.090589,8888863.000,USD
WW GRAINGER INC,GWW,384802104,2380863,0.090390,504546.000,USD
COGNIZANT TECH SOLUTIONS A,CTSH,192446102,2257019,0.090348,5698853.000,USD
PPG INDUSTRIES INC,PPG,693506107,2698470,0.089970,2618844.000,USD
VERISK ANALYTICS INC,VRSK,92345Y106,B4P9W92,0.089877,1623327.000,USD
DEVON ENERGY CORP,DVN,25179M103,2480677,0.089743,7191484.000,USD
CONSOLIDATED EDISON INC,ED,209115104,2216850,0.088719,3885396.000,USD
FASTENAL CO,FAST,311900104,2332262,0.087035,6392608.000,USD
VICI PROPERTIES INC,VICI,925652109,BYWH073,0.086260,11239945.000,USD
LENNAR CORP A,LEN,526057104,2511920,0.084659,2840422.000,USD
PUBLIC SERVICE ENTERPRISE GP,PEG,744573106,2707677,0.084599,5579673.000,USD
BANK OF NEW YORK MELLON CORP,BK,064058100,B1Z77F6,0.084256,8047855.000,USD
RESMED INC,RMD,761152107,2732903,0.084240,1638603.000,USD
CONSTELLATION ENERGY,CEG,21037T109,BMH4FS1,0.083313,3655762.000,USD
KROGER CO,KR,501044101,2497406,0.082895,7285264.000,USD
DOLLAR TREE INC,DLTR,256746108,2272476,0.082650,2328013.000,USD
REPUBLIC SERVICES INC,RSG,760759100,2262530,0.082344,2288794.000,USD
GE HEALTHCARE TECHNOLOGY,GEHC,36266G107,BL6JPG8,0.082100,4379981.000,USD
UNITED RENTALS INC,URI,911363109,2134781,0.081497,774591.000,USD
AMERISOURCEBERGEN CORP,ABC,03073E105,2795393,0.081208,1810937.000,USD
EXTRA SPACE STORAGE INC,EXR,30225T102,B02HWR9,0.080288,2366631.000,USD
KEYSIGHT TECHNOLOGIES IN,KEYS,49338L103,BQZJ0Q9,0.079249,2004846.000,USD
ONEOK INC,OKE,682680103,2130109,0.078877,4997433.000,USD
ARCH CAPITAL GROUP LTD,ACGL,G0450A105,2740542,0.078635,4135816.000,USD
ANSYS INC,ANSS,03662Q105,2045623,0.078462,975535.000,USD
DELTA AIR LINES INC,DAL,247361702,B1W9D46,0.077933,7181064.000,USD
ILLUMINA INC,ILMN,452327109,2613990,0.077822,1758720.000,USD
APTIV PLC,APTV,G6095L109,B783TY6,0.077804,3029433.000,USD
VULCAN MATERIALS CO,VMC,929160109,2931205,0.077181,1486017.000,USD
ZIMMER BIOMET HOLDINGS INC,ZBH,98956P102,2783815,0.076919,2346024.000,USD
QUANTA SERVICES INC,PWR,74762E102,2150204,0.076830,1600620.000,USD
GLOBAL PAYMENTS INC,GPN,37940X102,2712013,0.076805,2946019.000,USD
ALLSTATE CORP,ALL,020002101,2019952,0.076532,2964547.000,USD
METTLER TOLEDO INTERNATIONAL,MTD,592688105,2126249,0.076380,248942.000,USD
WEC ENERGY GROUP INC,WEC,92939U106,BYY8XK8,0.075857,3526739.000,USD
KRAFT HEINZ CO/THE,KHC,500754106,BYRY499,0.075803,8874751.000,USD
P G + E CORP,PCG,69331C108,2689560,0.075557,18002249.000,USD
GARTNER INC,IT,366651107,2372763,0.074939,881410.000,USD
AMERICAN WATER WORKS CO INC,AWK,030420103,B2R3PV1,0.074883,2161165.000,USD
HP INC,HPQ,40434L105,BYX4D52,0.074870,9679075.000,USD
MARTIN MARIETTA MATERIALS,MLM,573284106,2572079,0.074461,695298.000,USD
WEST PHARMACEUTICAL SERVICES,WST,955306105,2950482,0.073058,828958.000,USD
CBRE GROUP INC   A,CBRE,12504L109,B6WVMH3,0.072718,3531618.000,USD
WARNER BROS DISCOVERY INC,WBD,934423104,BM8JYX3,0.072464,24747481.000,USD
EDISON INTERNATIONAL,EIX,281020107,2829515,0.072231,4269738.000,USD
DISCOVER FINANCIAL SERVICES,DFS,254709108,B1YLC43,0.071831,2847137.000,USD
KEURIG DR PEPPER INC,KDP,49271V100,BD3W133,0.071487,9464823.000,USD
XYLEM INC,XYL,98419M100,B3P2CN8,0.071273,2667128.000,USD
AVALONBAY COMMUNITIES INC,AVB,053484101,2131179,0.070369,1564588.000,USD
DIAMONDBACK ENERGY INC,FANG,25278X109,B7Y8YR3,0.070219,2057490.000,USD
T ROWE PRICE GROUP INC,TROW,74144T108,2702337,0.070089,2512514.000,USD
INGERSOLL RAND INC,IR,45687V106,BL5GZ82,0.068952,4534442.000,USD
FORTIVE CORP,FTV,34959J108,BYT3MK1,0.068531,3954369.000,USD
EBAY INC,EBAY,278642103,2293819,0.068484,6066102.000,USD
CORNING INC,GLW,219350105,2224701,0.067734,8524813.000,USD
CDW CORP/DE,CDW,12514G108,BBM5MD6,0.067652,1516152.000,USD
EVERSOURCE ENERGY,ES,30040W108,BVVN4Q8,0.067349,3900313.000,USD
EQUIFAX INC,EFX,294429105,2319146,0.066538,1368935.000,USD
WEYERHAEUSER CO,WY,962166104,2958936,0.066461,8272168.000,USD
WILLIS TOWERS WATSON PLC,WTW,G96629103,BDB6Q21,0.065089,1195387.000,USD
ALBEMARLE CORP,ALB,012653101,2046853,0.065046,1309776.000,USD
MONOLITHIC POWER SYSTEMS INC,MPWR,609839105,B01Z7J1,0.064614,501321.000,USD
BAXTER INTERNATIONAL INC,BAX,071813109,2085102,0.064455,5651923.000,USD
ENPHASE ENERGY INC,ENPH,29355A107,B65SQW4,0.063846,1522303.000,USD
CARDINAL HEALTH INC,CAH,14149Y108,2175672,0.063174,2884159.000,USD
ALIGN TECHNOLOGY INC,ALGN,016255101,2679204,0.062918,810604.000,USD
TAKE TWO INTERACTIVE SOFTWRE,TTWO,874054109,2122117,0.062666,1775512.000,USD
CHURCH + DWIGHT CO INC,CHD,171340102,2195841,0.062525,2730982.000,USD
DTE ENERGY COMPANY,DTE,233331107,2280220,0.062341,2310852.000,USD
SBA COMMUNICATIONS CORP,SBAC,78410G104,BZ6TS23,0.062228,1209059.000,USD
LYONDELLBASELL INDU CL A,LYB,N53745100,B3SPXZ3,0.062107,2835122.000,USD
STATE STREET CORP,STT,857477103,2842040,0.061944,3747593.000,USD
TRACTOR SUPPLY COMPANY,TSCO,892356106,2900335,0.061467,1236486.000,USD
M + T BANK CORP,MTB,55261F104,2340168,0.061070,1895451.000,USD
HARTFORD FINANCIAL SVCS GRP,HIG,416515104,2476193,0.060538,3476751.000,USD
STERIS PLC,STE,G8473T100,BFY8C75,0.060403,1109226.000,USD
ULTA BEAUTY INC,ULTA,90384S303,B28TS42,0.060391,572182.000,USD
EQUITY RESIDENTIAL,EQR,29476L107,2319157,0.059914,3814079.000,USD
AMEREN CORPORATION,AEE,023608102,2050832,0.059467,2891002.000,USD
HEWLETT PACKARD ENTERPRISE,HPE,42824C109,BYVYWS0,0.059273,14419362.000,USD
MCCORMICK + CO NON VTG SHRS,MKC,579780206,2550161,0.058816,2802083.000,USD
GENUINE PARTS CO,GPC,372460105,2367480,0.058302,1580716.000,USD
INTL FLAVORS + FRAGRANCES,IFF,459506101,2464165,0.057969,2850561.000,USD
ROYAL CARIBBEAN CRUISES LTD,RCL,V7780T103,2754907,0.057952,2440331.000,USD
ENTERGY CORP,ETR,29364G103,2317087,0.057866,2370671.000,USD
WALGREENS BOOTS ALLIANCE INC,WBA,931427108,BTN1Y44,0.057555,8024962.000,USD
FIRSTENERGY CORP,FE,337932107,2100920,0.056618,6049322.000,USD
FAIR ISAAC CORP,FICO,303250104,2330299,0.056118,281690.000,USD
RAYMOND JAMES FINANCIAL INC,RJF,754730109,2718992,0.055532,2158490.000,USD
SOUTHWEST AIRLINES CO,LUV,844741108,2831543,0.055127,6639357.000,USD
COTERRA ENERGY INC,CTRA,127097103,2162340,0.053882,8492442.000,USD
WABTEC CORP,WAB,929740108,2955733,0.053791,2026406.000,USD
DOVER CORP,DOV,260003108,2278407,0.053704,1568529.000,USD
INVITATION HOMES INC,INVH,46187W107,BD81GW9,0.053664,6459508.000,USD
PPL CORP,PPL,69351T106,2680905,0.053563,8194592.000,USD
DARDEN RESTAURANTS INC,DRI,237194105,2289874,0.053548,1365400.000,USD
HOLOGIC INC,HOLX,436440101,2433530,0.053134,2790826.000,USD
BROADRIDGE FINANCIAL SOLUTIO,BR,11133T103,B1VP7R6,0.052591,1315507.000,USD
FIRST SOLAR INC,FSLR,336433107,B1HMF22,0.051811,1108477.000,USD
VENTAS INC,VTR,92276F100,2927925,0.051596,4479310.000,USD
LABORATORY CRP OF AMER HLDGS,LH,50540R409,2586122,0.051333,990809.000,USD
INSULET CORP,PODD,45784P101,B1XGNW4,0.051308,779281.000,USD
CENTERPOINT ENERGY INC,CNP,15189T107,2440637,0.051238,7049940.000,USD
ALEXANDRIA REAL ESTATE EQUIT,ARE,015271109,2009210,0.051011,1763908.000,USD
TELEDYNE TECHNOLOGIES INC,TDY,879360105,2503477,0.050869,524877.000,USD
VERISIGN INC,VRSN,92343E102,2142922,0.050573,1025391.000,USD
FIFTH THIRD BANCORP,FITB,316773100,2336747,0.050265,7673644.000,USD
NVR INC,NVR,62944T105,2637785,0.050223,33785.000,USD
